groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
AC,1,1,0,1,1
AC,1,1,2,0,0
AC,0,0,1,2,0
AC,0,1,0,1,2
AC,0,0,1,0,3
AC,0,1,1,0,2
AC,0,0,2,0,1
AC,1,1,1,0,1
AC,0,0,0,3,0
AC,0,0,0,2,1
AC,0,0,1,1,1
AC,2,2,0,2,0
AC,0,0,0,1,3
AC,0,0,2,1,0
AC,0,0,3,0,0
AC,1,1,1,1,0
